,id,host_id,district,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
0,1419,1565,West End,Little Portugal,43.64617,-79.42451,Entire home/apt,469,4,7,2017-12-04,0.13,1,0,2017,12,4
3,23691,93825,York,Briar Hill-Belgravia,43.69602,-79.45468,Private room,72,1,215,2019-10-27,1.85,2,13,2019,10,27
4,26654,113345,Downtown Core,Waterfront Communities-The Island,43.6453,-79.3894,Entire home/apt,199,4,38,2019-08-17,0.35,7,336,2019,8,17
7,40456,174063,West End,South Parkdale,43.63532,-79.44049,Entire home/apt,99,28,109,2019-11-08,0.96,3,273,2019,11,8
8,41887,183071,Scarborough,Oakridge,43.69466,-79.28667,Entire home/apt,69,2,82,2019-09-02,2.22,2,0,2019,9,2
9,43964,192364,Scarborough,Wexford/Maryvale,43.74858,-79.29111,Entire home/apt,90,2,30,2019-08-05,0.84,1,364,2019,8,5
10,44452,195095,North End,Rosedale-Moore Park,43.67185,-79.38583,Entire home/apt,121,1,49,2019-04-27,0.44,12,363,2019,4,27
11,45399,195095,Downtown Core,Church-Yonge Corridor,43.65972,-79.38172,Entire home/apt,121,1,78,2019-11-07,0.7,12,0,2019,11,7
12,45453,195095,North End,Rosedale-Moore Park,43.67191,-79.38585,Private room,105,1,9,2018-09-02,0.09,12,281,2018,9,2
13,45893,195095,North End,Rosedale-Moore Park,43.67105,-79.38481,Private room,105,1,18,2019-06-01,0.16,12,279,2019,6,1
14,50110,195095,Downtown Core,Church-Yonge Corridor,43.66899,-79.38548,Entire home/apt,121,1,55,2019-10-23,0.5,12,0,2019,10,23
15,51616,237587,West End,Niagara,43.64296,-79.40451,Private room,54,91,24,2018-11-11,0.59,1,179,2018,11,11
16,62545,304551,West End,Niagara,43.6458,-79.40769,Private room,65,60,22,2019-08-30,0.2,4,236,2019,8,30
17,64003,312769,Downtown Core,Moss Park,43.65955,-79.36701,Entire home/apt,350,3,103,2019-12-02,0.95,2,11,2019,12,2
18,64641,304551,West End,Niagara,43.6444,-79.40829,Private room,65,30,16,2019-08-04,0.15,4,311,2019,8,4
19,65238,318911,West End,Palmerston-Little Italy,43.65853,-79.42709,Private room,56,2,65,2019-11-13,0.62,2,345,2019,11,13
20,69464,195095,North End,Rosedale-Moore Park,43.67094,-79.38581,Entire home/apt,121,1,46,2019-11-26,0.43,12,0,2019,11,26
21,75051,368707,West End,Dufferin Grove,43.65956,-79.43228,Entire home/apt,144,5,272,2018-08-04,2.56,2,220,2018,8,4
22,82694,431260,West End,Niagara,43.64171,-79.40469,Entire home/apt,107,30,29,2016-09-23,0.28,1,362,2016,9,23
23,84076,544254,West End,Niagara,43.64457,-79.40451,Entire home/apt,144,3,6,2018-08-20,0.08,1,0,2018,8,20
24,89575,93825,York,Briar Hill-Belgravia,43.69662,-79.45325,Private room,62,1,88,2019-10-24,0.9,2,12,2019,10,24
25,96336,511506,West End,Niagara,43.64458,-79.41022,Entire home/apt,239,3,121,2019-12-02,1.63,1,151,2019,12,2
26,104096,349172,East End,South Riverdale,43.66527,-79.32934,Entire home/apt,175,5,18,2019-08-03,0.18,1,125,2019,8,3
27,104722,455397,Downtown Core,Annex,43.67175,-79.40398,Entire home/apt,160,2,6,2018-10-08,0.12,1,0,2018,10,8
28,112842,575127,York,High Park North,43.65623,-79.46667,Entire home/apt,64,180,12,2017-03-05,0.12,1,344,2017,3,5
29,113175,576192,Downtown Core,Waterfront Communities-The Island,43.64123,-79.39339,Entire home/apt,105,28,34,2019-09-30,0.33,1,294,2019,9,30
30,119441,174063,West End,South Parkdale,43.63559,-79.44048,Entire home/apt,125,28,78,2019-10-05,0.75,3,364,2019,10,5
31,122492,613837,East End,Danforth East York,43.68872,-79.3299,Entire home/apt,89,5,107,2019-08-30,1.33,1,220,2019,8,30
32,127380,630920,Etobicoke,Yonge-Eglinton,43.7037,-79.4082,Private room,60,1,142,2019-10-31,1.42,1,361,2019,10,31
33,131401,604233,West End,Niagara,43.63633,-79.40076,Entire home/apt,68,25,5,2019-01-30,0.09,1,310,2019,1,30
34,137099,149566,West End,Palmerston-Little Italy,43.65781,-79.42065,Entire home/apt,350,5,10,2017-08-12,0.1,2,220,2017,8,12
35,138613,676621,West End,Little Portugal,43.64776,-79.42709,Entire home/apt,180,3,5,2016-10-07,0.05,1,0,2016,10,7
37,148945,718884,Downtown Core,Waterfront Communities-The Island,43.64835,-79.36302,Private room,80,3,26,2019-11-18,0.25,1,312,2019,11,18
38,149420,666759,West End,High Park-Swansea,43.64618,-79.48833,Entire home/apt,80,4,33,2019-11-27,0.37,1,207,2019,11,27
39,153000,735795,Downtown Core,Waterfront Communities-The Island,43.64366,-79.39155,Entire home/apt,199,3,51,2019-08-04,0.5,1,341,2019,8,4
40,179217,857989,North York,Downsview-Roding-CFB,43.74098,-79.48724,Private room,80,2,16,2019-08-05,0.25,1,338,2019,8,5
42,182573,591649,York,Humewood-Cedarvale,43.68683,-79.42274,Entire home/apt,80,5,23,2019-09-11,0.24,2,32,2019,9,11
