,district,neighbourhood
0,Scarborough,Agincourt North
1,Scarborough,Agincourt South-Malvern West
2,Etobicoke,Alderwood
3,Downtown Core,Annex
4,North York,Banbury-Don Mills
5,North York,Bathurst Manor
6,East End,Bay Street Corridor
7,North York,Bayview Village
8,North York,Bayview Woods-Steeles
9,North End,Bedford Park-Nortown
10,York,Beechborough-Greenbrook
11,Scarborough,Bendale
12,Scarborough,Birchcliffe-Cliffside
13,North York,Black Creek
14,East End,Blake-Jones
15,York,Briar Hill-Belgravia
16,North York,Bridle Path-Sunnybrook-York Mills
17,East York,Broadview North
18,North York,Brookhaven-Amesbury
19,Downtown Core,Cabbagetown-South St.James Town
20,York,Caledonia-Fairbank
21,North End,Casa Loma
22,Scarborough,Centennial Scarborough
23,Downtown Core,Church-Yonge Corridor
24,Scarborough,Clairlea-Birchmount
25,North York,Clanton Park
26,Scarborough,Cliffcrest
27,West End,Corso Italia-Davenport
28,East End,Danforth
29,East End,Danforth East York
30,North York,Don Valley Village
31,Scarborough,Dorset Park
32,West End,Dovercourt-Wallace Emerson-Junction
33,North York,Downsview-Roding-CFB
34,West End,Dufferin Grove
35,East End,East End-Danforth
36,Etobicoke,Edenbridge-Humber Valley
37,Scarborough,Eglinton East
38,Etobicoke,Elms-Old Rexdale
39,North York,Englemount-Lawrence
40,Etobicoke,Eringate-Centennial-West Deane
41,Etobicoke,Etobicoke West Mall
42,North York,Flemingdon Park
43,North End,Forest Hill North
44,North End,Forest Hill South
45,North York,Glenfield-Jane Heights
46,East York,Greenwood-Coxwell
47,Scarborough,Guildwood
48,North York,Henry Farm
49,Scarborough,Highland Creek
50,York,High Park North
51,West End,High Park-Swansea
52,North York,Hillcrest Village
53,Etobicoke,Humber Heights-Westmount
54,North York,Humbermede
55,North York,Humber Summit
56,York,Humewood-Cedarvale
57,Scarborough,Ionview
58,Etobicoke,Islington-City Centre West
59,West End,Junction Area
60,York,Keelesdale-Eglinton West
61,Scarborough,Kennedy Park
62,Downtown Core,Kensington-Chinatown
63,Etobicoke,Kingsview Village-The Westway
64,Etobicoke,Kingsway South
65,York,Lambton Baby Point
66,Scarborough,L'Amoreaux
67,North York,Lansing-Westgate
68,North End,Lawrence Park North
69,North End,Lawrence Park South
70,East York,Leaside-Bennington
71,West End,Little Portugal
72,Etobicoke,Long Branch
73,Scarborough,Malvern
74,North York,Maple Leaf
75,Etobicoke,Markland Wood
76,Scarborough,Milliken
77,Etobicoke,Mimico (includes Humber Bay Shores)
78,Scarborough,Morningside
79,Downtown Core,Moss Park
80,York,Mount Dennis
81,Etobicoke,Mount Olive-Silverstone-Jamestown
82,North End,Mount Pleasant East
83,North End,Mount Pleasant West
84,North York,Newtonbrook East
85,North York,Newtonbrook West
86,Etobicoke,New Toronto
87,West End,Niagara
88,East End,North Riverdale
89,Downtown Core,North St.James Town
90,Scarborough,Oakridge
91,York,Oakwood Village
92,East York,O'Connor-Parkview
93,East York,Old East York
94,West End,Palmerston-Little Italy
95,North York,Parkwoods-Donalda
96,North York,Pelmo Park-Humberlea
97,East End,Playter Estates-Danforth
98,North York,Pleasant View
99,Etobicoke,Princess-Rosethorn
100,Downtown Core,Regent Park
101,Etobicoke,Rexdale-Kipling
102,York,Rockcliffe-Smythe
103,West End,Roncesvalles
104,North End,Rosedale-Moore Park
105,Scarborough,Rouge
106,West End,Runnymede-Bloor West Village
107,North York,Rustic
108,Scarborough,Scarborough Village
109,West End,South Parkdale
110,East End,South Riverdale
111,North York,St.Andrew-Windfields
112,Scarborough,Steeles
113,Etobicoke,Stonegate-Queensway
114,Scarborough,Tam O'Shanter-Sullivan
115,East York,Taylor-Massey
116,East End,The Beaches
117,Etobicoke,Thistletown-Beaumond Heights
118,East York,Thorncliffe Park
119,West End,Trinity-Bellwoods
120,Downtown Core,University
121,North York,Victoria Village
122,Downtown Core,Waterfront Communities-The Island
123,Scarborough,West Hill
124,Etobicoke,West Humber-Clairville
125,North York,Westminster-Branson
126,York,Weston
127,West End,Weston-Pellam Park
128,Scarborough,Wexford/Maryvale
129,North York,Willowdale East
130,North York,Willowdale West
131,Etobicoke,Willowridge-Martingrove-Richview
132,Scarborough,Woburn
133,East End,Woodbine Corridor
134,East York,Woodbine-Lumsden
135,North End,Wychwood
136,Etobicoke,Yonge-Eglinton
137,Etobicoke,Yonge-St.Clair
138,North York,Yorkdale-Glen Park
139,North York,York University Heights
